"predictionThreshold","PersonCountAtRisk","PersonCountWithOutcome","averagePredictedProbability","StDevPredictedProbability","MinPredictedProbability","P25PredictedProbability","MedianPredictedProbability","P75PredictedProbability","MaxPredictedProbability","observedIncidence","evaluation"
0,8,0,0.00121823451808939,9.23289758385571e-05,0.00106714148652054,0.00117700413582551,0.00124461091349216,0.0012898859888007,0.0013062722295936,0,"Test"
0.001311560954599,8,0,0.00141667806049295,6.16198141522114e-05,0.00131416584900465,0.00138241158714544,0.00140970509131403,0.001471445438032,0.00148951029148666,0,"Test"
0.00148964337972521,8,0,0.00157645017003227,5.82709329404745e-05,0.00148990172748239,0.0015270936325707,0.00159200833893812,0.00161043540388937,0.00166528661531334,0,"Test"
0.00166535293626246,7,0,0.0017652462087834,5.75867007403292e-05,0.00167191871022525,0.00172743893494566,0.00177937335100251,0.00181425912208551,0.00182203528619372,0,"Test"
0.001833973945125,8,0,0.00192267515171994,6.58269716092626e-05,0.00183959213756325,0.00187954600464636,0.0019201513570235,0.00195027327052077,0.00203719740338424,0,"Test"
0.00204129371025143,8,0,0.002164717326067,6.30553870874067e-05,0.0020489011372905,0.0021212389799764,0.00219309534638794,0.00220164937187531,0.00223298831767897,0,"Test"
0.00223318600912658,7,0,0.00233167868355533,7.53309289882719e-05,0.00224287289005939,0.00226145679222927,0.002356691114644,0.0023860917740998,0.00242708964752576,0,"Test"
0.00249136031839185,8,0,0.00269167677387295,0.000159448594881564,0.00252023554733169,0.0026033638266051,0.00264721646122586,0.00272633989353308,0.0029889322426653,0,"Test"
0.00301176132460728,8,0,0.00581555277216803,0.00347490718203097,0.0030523463591708,0.00327101587152601,0.0036704464865486,0.00888545774715159,0.010756243190741,0,"Test"
0.0107563905990285,7,0,0.0112344643141078,0.000311440105551329,0.0107611568003237,0.0110708967453601,0.0112941332776803,0.0113870217475892,0.0116701231348524,0,"Test"
0.0116881884267787,8,0,0.011915586578376,0.000193941841577511,0.0116959306947472,0.0117736947428605,0.0119102247324972,0.0120025747163748,0.0122897941933234,0,"Test"
0.0123074863491361,8,0,0.0124746747003565,0.000102622441786861,0.0123376108306549,0.012424240768638,0.0124497910162776,0.0125189336233564,0.0126591548582896,0,"Test"
0.0126612680133935,7,0,0.0129912447194927,0.000220937321157157,0.0127119837358883,0.0128076828186147,0.0129980456813652,0.013178817137835,0.0132556837062963,0,"Test"
0.0132741662062017,8,1,0.0133959780971875,7.00229609697847e-05,0.013281715396304,0.0133545531255657,0.0134000871356475,0.0134245573018334,0.0134940821635939,0.125,"Test"
0.0135352477967706,8,0,0.0138014509952782,0.000143771210556232,0.0136024127772168,0.0137064828356721,0.0138361861310466,0.0139009016468984,0.0139811593825699,0,"Test"
0.0139831937620924,7,0,0.0141630123114849,9.94808303425985e-05,0.0140218469730199,0.0140971413018556,0.0141912565017128,0.0142338211752254,0.0142660577514991,0,"Test"
0.01427540027274,8,0,0.0145146702724609,0.000121966219680936,0.0142790334754447,0.0144866692793897,0.0145486453970907,0.0145728605435602,0.0146772962764993,0,"Test"
0.0146865120471077,8,0,0.0148448769383567,8.6809040346283e-05,0.0147009264575465,0.0147958839148992,0.0148408307245102,0.0149213580756283,0.01494631804256,0,"Test"
0.0149499569607239,7,0,0.0151154378254543,7.14539941020766e-05,0.0150069666786252,0.0150793241077203,0.01512061658092,0.0151469851538608,0.0152278629954727,0,"Test"
0.0152347467402495,8,0,0.015331226092212,4.90717778667876e-05,0.0152372927828382,0.0153076426941603,0.0153339554339255,0.0153711710105342,0.0153856084051014,0,"Test"
0.0154181478617347,8,0,0.0156386647377754,0.000148798164223086,0.0154669570466846,0.0154852900157242,0.0156677791151498,0.0157497944014357,0.015829063101897,0,"Test"
0.0158306324003696,7,0,0.0159380927990723,7.82206414388864e-05,0.0158514816515059,0.0158618986650815,0.0159592994154467,0.0159972473761864,0.0160375764440176,0,"Test"
0.01605122622767,8,0,0.0162157203760024,0.000122934223620941,0.0160560220976019,0.016120615003779,0.0162286335576406,0.0163192523435273,0.0163550695263751,0,"Test"
0.0163861735947676,8,0,0.0165347390728103,8.85709381950434e-05,0.0164309331078202,0.0164573827072695,0.0165246201446288,0.0166189102375811,0.016643580013996,0,"Test"
0.0166504421916907,7,0,0.0167743963326887,3.62416504830426e-05,0.0167293572351798,0.0167540551994135,0.0167691190585662,0.0167885481089884,0.0168370914182711,0,"Test"
0.0168664128402806,8,0,0.0169270757223322,3.70022240279587e-05,0.0168761866476171,0.0168945519546919,0.0169330840804371,0.0169488343610481,0.0169786877853812,0,"Test"
0.0169794504513059,8,0,0.0170808111973576,4.98734196365981e-05,0.0169805036566305,0.0170515033920179,0.0171016425492341,0.0171145529401214,0.0171305153787367,0,"Test"
0.01713128762192,7,0,0.0171843062885485,4.783301711294e-05,0.017139095858551,0.0171611817653275,0.0171718212318547,0.0171853035337976,0.0172862563311835,0,"Test"
0.0173145055196091,8,0,0.0174484594745335,7.83634568883352e-05,0.0173234263159541,0.0174327235452068,0.0174781892062992,0.0174912506395369,0.0175230075970059,0,"Test"
0.0175356420224724,8,0,0.0175926780210113,3.53529076379743e-05,0.0175523899818117,0.0175703481733381,0.0175793628353509,0.0176127910482774,0.0176531506111351,0,"Test"
0.0176572299287269,7,0,0.0177195968400722,2.37535940447726e-05,0.0176939437870535,0.0176986728782549,0.017717810890496,0.0177393592409075,0.0177493589646315,0,"Test"
0.0177758578687821,8,0,0.0179378594754947,7.28293719596367e-05,0.0177837731258661,0.0179212111989532,0.0179444956713072,0.0179817230157012,0.0180214238998688,0,"Test"
0.0180227646829001,8,0,0.0181396065987342,6.41488165939643e-05,0.0180244711340308,0.0181024046147151,0.0181513660166264,0.0181780855177865,0.0182140888994083,0,"Test"
0.0182142418557836,7,0,0.0183400531128594,6.17323297528183e-05,0.0182154794119105,0.0183217355664562,0.0183708811279607,0.018380560797193,0.0183894185228466,0,"Test"
0.0184000992660244,8,0,0.0184964357735171,5.41478840110086e-05,0.018403111783331,0.0184736273775383,0.0185163634314201,0.0185252584177477,0.0185579524592319,0,"Test"
0.0185813398207864,8,0,0.0188053873220975,0.000132821460149524,0.0186099243737974,0.018710283016729,0.0188140985939849,0.0189010020068385,0.0189854134169972,0,"Test"
0.0189869338517924,7,0,0.0190527742997162,3.92574806539448e-05,0.0189980837069578,0.0190195704173084,0.0190744387991616,0.019083822602135,0.0190901115530075,0,"Test"
0.0190903171372653,8,0,0.0192358472090401,7.41840874026018e-05,0.0190903717862452,0.0192059066817159,0.0192510618127519,0.0192870729930967,0.0193201454502543,0,"Test"
0.0193423732476852,8,0,0.0194249276558969,6.37079826634579e-05,0.019368466749017,0.0193744172871515,0.0193920805773045,0.0194872361695648,0.019524912328407,0,"Test"
0.0195356991423137,7,0,0.0196379701713054,3.3271481633294e-05,0.0196078878199967,0.0196115965153655,0.0196194911029122,0.0196623941392823,0.0196904309669335,0,"Test"
0.0197163339097223,8,0,0.0198055703463063,5.89498346122232e-05,0.0197228096454196,0.0197636485731049,0.019812105009815,0.0198452150407641,0.0198822392706242,0,"Test"
0.0199021041851014,8,0,0.0200097943801345,6.18927013086267e-05,0.0199245050461077,0.0199765083833194,0.0199963044544001,0.0200293750646231,0.0201238286274563,0,"Test"
0.0201243030705532,7,0,0.0201804759590447,4.47009284567449e-05,0.0201272175067199,0.0201529352678032,0.0201786637084674,0.0201927787302445,0.0202660225020305,0,"Test"
0.0202698714939178,8,0,0.0204196464399178,0.000101477193845154,0.0202707743438667,0.0203448352405304,0.0204437106768577,0.0204829450008521,0.0205474861425008,0,"Test"
0.020556572681362,8,0,0.0207223813759863,0.000110224539240817,0.0205664164317949,0.0206547925299151,0.020744708541077,0.0207924404541787,0.0208645979530477,0,"Test"
0.0208682089488223,7,0,0.0209477446402985,6.1622589134695e-05,0.0208886712582118,0.0208949465754715,0.0209477762899699,0.0209750825241758,0.0210577067346137,0,"Test"
0.0210578362611087,8,0,0.0211232036685962,4.22245437575188e-05,0.021057864693754,0.0210947233701327,0.0211213518720934,0.0211470678529592,0.0211828128205339,0,"Test"
0.021189063879631,8,0,0.0212394998969008,3.93060041132179e-05,0.0211955700839975,0.0212091342367605,0.0212346644902658,0.0212667916858665,0.0213044974902009,0,"Test"
0.0213064768327625,7,1,0.0214124918544971,8.44960497507883e-05,0.021316868381211,0.0213450047252354,0.0213989059303073,0.021474397082253,0.0215328650549846,0.142857142857143,"Test"
0.0215492944958165,8,1,0.0215932689791713,3.65040165727826e-05,0.021552659562011,0.0215630387992515,0.0215918867871537,0.0216289996033529,0.021631165825578,0.125,"Test"
0.021633119424708,8,0,0.0217486666240179,0.000104415262779996,0.021635073023838,0.0216812109489047,0.0217294561326161,0.0217820439021339,0.0219261136803628,0,"Test"
0.0219357894289965,7,0,0.0220846059462035,5.8464513893118e-05,0.0219830298487961,0.0220593128024201,0.0220858123304943,0.0221339319487269,0.0221369099418398,0,"Test"
0.0221965078550345,8,0,0.022262626663112,5.48612365376629e-05,0.0222078598385001,0.0222139941945087,0.0222553219747615,0.0222977702513251,0.0223574922165308,0,"Test"
0.0223717435746401,8,0,0.0224711935008712,5.842821407365e-05,0.0223854360559609,0.0224425217748751,0.0224602421362011,0.0224934069443204,0.0225747124200804,0,"Test"
0.0225803923768206,7,0,0.0227120540492562,9.30554045241064e-05,0.0226062677353039,0.0226181118962252,0.0227533619701674,0.0227935241291202,0.0228014765886308,0,"Test"
0.0228194827418456,8,1,0.0228887819699237,3.70403224674606e-05,0.0228226602982953,0.0228753357174667,0.0228990801423621,0.022915728959602,0.02292549175345,0.125,"Test"
0.0229296178187283,8,0,0.0230191936497395,7.88145837938801e-05,0.0229334264943697,0.022943820038888,0.023018406091214,0.0230800394999967,0.0231161023129523,0,"Test"
0.0231198732197521,7,0,0.0232980564413965,8.98514536256707e-05,0.0231359491908461,0.0232710580995035,0.0233060645455406,0.0233473193465909,0.0234076264612002,0,"Test"
0.0234142714876387,8,0,0.0235259787474273,8.03654824535833e-05,0.0234153532361286,0.0234736391574657,0.0235004728872046,0.0235899928410079,0.0236350184663509,0,"Test"
