"evaluation","predictionThreshold","preferenceThreshold","positiveCount","negativeCount","trueCount","falseCount","truePositiveCount","trueNegativeCount","falsePositiveCount","falseNegativeCount","f1Score","accuracy","sensitivity","falseNegativeRate","falsePositiveRate","specificity","positivePredictiveValue","falseDiscoveryRate","negativePredictiveValue","falseOmissionRate","positiveLikelihoodRatio","negativeLikelihoodRatio","diagnosticOddsRatio"
"Test",0.952812671425386,0.995057930486191,1,767,70,698,0,697,1,70,NA,0.907552083333333,0,1,0.00143266475644699,0.998567335243553,0,1,0.908735332464146,0.091264667535854,0,1.00143472022956,0
"Test",0.935250747288456,0.993104838988329,2,766,70,698,1,697,1,69,0.0277777777777778,0.908854166666667,0.0142857142857143,0.985714285714286,0.00143266475644699,0.998567335243553,0.5,0.5,0.909921671018277,0.0900783289817232,9.97142857142857,0.987128509940562,10.1014492753623
"Test",0.923852643462643,0.991801778916793,3,765,70,698,2,697,1,68,0.0547945205479452,0.91015625,0.0285714285714286,0.971428571428571,0.00143266475644699,0.998567335243553,0.666666666666667,0.333333333333333,0.911111111111111,0.0888888888888889,19.9428571428571,0.972822299651568,20.5
"Test",0.922054872753118,0.991593629089279,4,764,70,698,3,697,1,67,0.0810810810810811,0.911458333333333,0.0428571428571429,0.957142857142857,0.00143266475644699,0.998567335243553,0.75,0.25,0.912303664921466,0.087696335078534,29.9142857142857,0.958516089362574,31.2089552238806
"Test",0.917082273066966,0.991014100839027,5,763,70,698,4,697,1,66,0.106666666666667,0.912760416666667,0.0571428571428571,0.942857142857143,0.00143266475644699,0.998567335243553,0.8,0.2,0.913499344692005,0.0865006553079948,39.8857142857143,0.944209879073581,42.2424242424242
"Test",0.913454121842063,0.990587712096685,6,762,70,698,5,697,1,65,0.131578947368421,0.9140625,0.0714285714285714,0.928571428571429,0.00143266475644699,0.998567335243553,0.833333333333333,0.166666666666667,0.914698162729659,0.0853018372703412,49.8571428571429,0.929903668784587,53.6153846153846
"Test",0.912362162677605,0.99045879089158,7,761,70,698,6,697,1,64,0.155844155844156,0.915364583333333,0.0857142857142857,0.914285714285714,0.00143266475644699,0.998567335243553,0.857142857142857,0.142857142857143,0.915900131406045,0.0840998685939553,59.8285714285714,0.915597458495593,65.34375
"Test",0.911627539777799,0.990371903432094,8,760,70,698,7,697,1,63,0.17948717948718,0.916666666666667,0.1,0.9,0.00143266475644699,0.998567335243553,0.875,0.125,0.917105263157895,0.0828947368421053,69.8,0.9012912482066,77.4444444444445
"Test",0.910600129653955,0.990250177095006,9,759,70,698,8,697,1,62,0.20253164556962,0.91796875,0.114285714285714,0.885714285714286,0.00143266475644699,0.998567335243553,0.888888888888889,0.111111111111111,0.918313570487484,0.0816864295125165,79.7714285714286,0.886985037917606,89.9354838709677
"Test",0.907117915843615,0.989835781932795,10,758,70,698,9,697,1,61,0.225,0.919270833333333,0.128571428571429,0.871428571428571,0.00143266475644699,0.998567335243553,0.9,0.1,0.919525065963061,0.0804749340369393,89.7428571428571,0.872678827628612,102.83606557377
"Test",0.906847518460495,0.989803485153469,11,757,70,698,10,697,1,60,0.246913580246914,0.920572916666667,0.142857142857143,0.857142857142857,0.00143266475644699,0.998567335243553,0.909090909090909,0.0909090909090909,0.920739762219287,0.0792602377807133,99.7142857142857,0.858372617339619,116.166666666667
"Test",0.905722981004761,0.989668984056925,12,756,70,698,11,697,1,59,0.268292682926829,0.921875,0.157142857142857,0.842857142857143,0.00143266475644699,0.998567335243553,0.916666666666667,0.0833333333333333,0.921957671957672,0.078042328042328,109.685714285714,0.844066407050625,129.949152542373
"Test",0.90362239927244,0.989416944254764,13,755,70,698,12,697,1,58,0.289156626506024,0.923177083333333,0.171428571428571,0.828571428571429,0.00143266475644699,0.998567335243553,0.923076923076923,0.0769230769230769,0.92317880794702,0.0768211920529801,119.657142857143,0.829760196761631,144.206896551724
"Test",0.896434466712607,0.988546546936843,14,754,70,698,13,697,1,57,0.30952380952381,0.924479166666667,0.185714285714286,0.814285714285714,0.00143266475644699,0.998567335243553,0.928571428571429,0.0714285714285714,0.924403183023873,0.0755968169761273,129.628571428571,0.815453986472638,158.964912280702
"Test",0.896368004660768,0.988538441019788,15,753,70,698,13,696,2,57,0.305882352941176,0.923177083333333,0.185714285714286,0.814285714285714,0.00286532951289398,0.997134670487106,0.866666666666667,0.133333333333333,0.924302788844621,0.0756972111553785,64.8142857142857,0.816625615763547,79.3684210526316
"Test",0.895401456872525,0.988420436923154,16,752,70,698,14,696,2,56,0.325581395348837,0.924479166666667,0.2,0.8,0.00286532951289398,0.997134670487106,0.875,0.125,0.925531914893617,0.074468085106383,69.8,0.802298850574713,87
"Test",0.894089428428311,0.988259890735471,17,751,70,698,15,696,2,55,0.344827586206897,0.92578125,0.214285714285714,0.785714285714286,0.00286532951289398,0.997134670487106,0.882352941176471,0.117647058823529,0.92676431424767,0.0732356857523302,74.7857142857143,0.787972085385878,94.9090909090909
"Test",0.893338215440562,0.988167779906382,18,750,70,698,16,696,2,54,0.363636363636364,0.927083333333333,0.228571428571429,0.771428571428571,0.00286532951289398,0.997134670487106,0.888888888888889,0.111111111111111,0.928,0.072,79.7714285714286,0.773645320197044,103.111111111111
