"covariateId","covariateName","analysisId","conceptId","CovariateCount","covariateValue","WithOutcome_CovariateCount","WithNoOutcome_CovariateCount","WithOutcome_CovariateMean","WithNoOutcome_CovariateMean","StandardizedMeanDiff"
12,"Age group: 10-14",4,0,NA,0,NA,NA,NA,NA,-0.0618688224889746
13,"Age group: 15-19",4,0,NA,0,NA,NA,NA,NA,-0.0847883990274221
14,"Age group: 20-24",4,0,NA,0,NA,NA,NA,NA,-0.113919487373586
15,"Age group: 25-29",4,0,NA,0,NA,NA,NA,NA,-0.0514424909519289
16,"Age group: 30-34",4,0,NA,0,NA,NA,NA,NA,0.0924971462565025
17,"Age group: 35-39",4,0,NA,0,NA,NA,NA,NA,0.122961161317529
18,"Age group: 40-44",4,0,NA,0,NA,NA,NA,NA,0.0527238271612163
19,"Age group: 45-49",4,0,148,0,16,132,0.0567375886524823,0.0472779369627507,0.0426125203939782
20,"Age group: 50-54",4,0,212,0,25,187,0.0886524822695035,0.0669770773638969,0.0809809394100062
21,"Age group: 55-59",4,0,269,0,15,254,0.0531914893617021,0.090974212034384,-0.146482044036126
22,"Age group: 60-64",4,0,305,0,32,273,0.113475177304965,0.0977793696275072,0.0510831859011179
23,"Age group: 65-69",4,0,345,0,31,314,0.109929078014184,0.112464183381089,-0.00806400678688123
24,"Age group: 70-74",4,0,331,0,29,302,0.102836879432624,0.108166189111748,-0.0173487467772455
25,"Age group: 75-79",4,0,386,0,38,348,0.134751773049645,0.124641833810888,0.0300952380717476
26,"Age group: 80-84",4,0,386,0,31,355,0.109929078014184,0.12714899713467,-0.0532908911417285
27,"Age group: 85-89",4,0,472,0,34,438,0.120567375886525,0.156876790830946,-0.105190046055191
41,"Index month: 1",6,0,NA,NA,NA,NA,NA,NA,NA
42,"Index month: 2",6,0,263,0,22,241,0.0780141843971631,0.0863180515759312,-0.0302413802212708
43,"Index month: 3",6,0,278,0,28,250,0.099290780141844,0.089541547277937,0.0333459652714995
44,"Index month: 4",6,0,284,0,26,258,0.0921985815602837,0.0924068767908309,-0.000719617254333465
45,"Index month: 5",6,0,275,0,29,246,0.102836879432624,0.08810888252149,0.0501336442578631
46,"Index month: 6",6,0,249,0,19,230,0.0673758865248227,0.082378223495702,-0.0570244716339262
47,"Index month: 7",6,0,245,0,26,219,0.0921985815602837,0.0784383954154728,0.0492719256247369
48,"Index month: 8",6,0,222,0,25,197,0.0886524822695035,0.0705587392550143,0.0668824695788355
49,"Index month: 9",6,0,221,0,19,202,0.0673758865248227,0.0723495702005731,-0.0195120335079227
50,"Index month: 10",6,0,261,0,24,237,0.0851063829787234,0.0848853868194842,0.000792454410040171
51,"Index month: 11",6,0,209,0,10,199,0.0354609929078014,0.0712750716332378,-0.15984729262865
52,"Index month: 12",6,0,212,0,18,194,0.0638297872340425,0.0694842406876791,-0.0226712242521724
1000,"Number of distinct conditions observed in 365d on or prior to cohort index",1000,0,471,0,43,428,0.152482269503546,0.153295128939828,-0.00225869607984908
1001,"Number of distinct drug ingredients observed in 365d on or prior to cohort index",1001,0,364,0,35,329,0.124113475177305,0.117836676217765,0.0192490715403373
1002,"Number of distinct procedures observed in 365d on or prior to cohort index",1002,0,467,0,45,422,0.159574468085106,0.151146131805158,0.0232683439089649
1003,"Number of distinct observations observed in 365d on or prior to cohort index",1003,0,309,0,33,276,0.117021276595745,0.0988538681948424,0.0585726937126582
1004,"Number of visits observed in 365d on or prior to cohort index",1004,0,168,0,15,153,0.0531914893617021,0.0547994269340974,-0.0071145380305346
1005,"Number of inpatient visits observed in 365d on or prior to cohort index",1005,0,NA,0,NA,NA,NA,NA,-0.0296354267646684
1006,"Number of ER visits observed in 365d on or prior to cohort index",1006,0,NA,0,NA,NA,NA,NA,-0.0621199120873634
1007,"Number of distinct measurements observed in 365d on or prior to cohort index",1007,0,289,0,25,264,0.0886524822695035,0.0945558739255014,-0.0204658189902958
1100,"Charlson Index - Romano adaptation, using conditions all time on or prior to cohort index",1100,0,591,0,42,549,0.148936170212766,0.19663323782235,-0.126414112011427
1101,"Diabetes Comorbidity Severity Index (DCSI), using conditions all time on or prior to cohort index",1101,0,1376,0,122,1254,0.432624113475177,0.449140401146132,-0.0332705188691582
1102,"CHADS2, using conditions all time on or prior to cohort index",1102,0,1414,0,141,1273,0.5,0.455945558739255,0.088280383126731
1103,"CHADS2VASc, using conditions all time on or prior to cohort index",1103,0,1471,-0.234671627957941,109,1362,0.386524822695035,0.487822349570201,-0.205286536448312
2007,"Index year: 2007",5,0,543,0,47,496,0.166666666666667,0.177650429799427,-0.0290977385350465
2008,"Index year: 2008",5,0,493,0,46,447,0.163120567375887,0.160100286532951,0.0082052791356366
2009,"Index year: 2009",5,0,508,0,39,469,0.138297872340426,0.16797994269341,-0.0824924944313014
2010,"Index year: 2010",5,0,NA,NA,NA,NA,NA,NA,NA
2011,"Index year: 2011",5,0,503,0,51,452,0.180851063829787,0.16189111747851,0.0503298636020402
2012,"Index year: 2012",5,0,530,0,48,482,0.170212765957447,0.172636103151862,-0.00643003991497394
8507,"Gender = MALE",2,8507,993,0,83,910,0.294326241134752,0.325931232091691,-0.0683682144933595
8516,"Race = Black or African American",3,8516,813,-0.0416881760430713,65,748,0.230496453900709,0.267908309455587,-0.0865721485713404
8527,"Race = White",3,8527,1895,-0.0811760547403613,170,1725,0.602836879432624,0.617836676217765,-0.0307614823881721
8532,"Gender = FEMALE",2,8532,NA,NA,NA,NA,NA,NA,NA
8715751,"Procedure occurrence record observed during 365d on or prior to cohort index within procedure group:  8715-Hospital admission",701,8715,90,0,10,80,0.0354609929078014,0.0286532951289398,0.0386539686631052
8715752,"Procedure occurrence record observed during 30d on or prior to cohort index within procedure group:  8715-Hospital admission",702,8715,NA,0,NA,NA,NA,NA,0.00886581877762758
22281101,"Condition occurrence record observed during 365d on or prior to cohort index:  22281-Hb SS disease",101,22281,NA,0,NA,NA,NA,NA,-0.0599006473198429
22281201,"Condition era record observed during anytime on or prior to cohort index:    22281-Hb SS disease",201,22281,NA,0,NA,NA,NA,NA,-0.0709008461306822
22281251,"Condition era record observed during anytime on or prior to cohort index within condition group:  22281-Hb SS disease",201,22281,NA,0,NA,NA,NA,NA,-0.0599006473198429
22340101,"Condition occurrence record observed during 365d on or prior to cohort index:  22340-Esophageal varices without bleeding",101,22340,NA,0,NA,NA,NA,NA,0.0439144563950282
22340201,"Condition era record observed during anytime on or prior to cohort index:    22340-Esophageal varices without bleeding",201,22340,NA,0,NA,NA,NA,NA,-0.0967258156403916
22492201,"Condition era record observed during anytime on or prior to cohort index:    22492-Foreign body in pharynx",201,22492,NA,0,NA,NA,NA,NA,-0.0599006473198429
23164251,"Condition era record observed during anytime on or prior to cohort index within condition group:  23164-Disorder of anterior pituitary",201,23164,NA,0,NA,NA,NA,NA,0.0444249187920755
23245151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  23245-Esophageal bleeding",101,23245,NA,0,NA,NA,NA,NA,0.0368415334543046
23245201,"Condition era record observed during anytime on or prior to cohort index:    23245-Esophageal bleeding",201,23245,NA,NA,NA,NA,NA,NA,-0.0378641222831377
23245251,"Condition era record observed during anytime on or prior to cohort index within condition group:  23245-Esophageal bleeding",201,23245,NA,0,NA,NA,NA,NA,0.113179871049012
23325101,"Condition occurrence record observed during 365d on or prior to cohort index:  23325-Heartburn",101,23325,NA,0,NA,NA,NA,NA,0.0683638601461501
23325201,"Condition era record observed during anytime on or prior to cohort index:    23325-Heartburn",201,23325,NA,0,NA,NA,NA,NA,-0.0242045074216756
23653101,"Condition occurrence record observed during 365d on or prior to cohort index:  23653-Foreign body in esophagus",101,23653,NA,0,NA,NA,NA,NA,-0.0437269469446626
23653201,"Condition era record observed during anytime on or prior to cohort index:    23653-Foreign body in esophagus",201,23653,NA,0,NA,NA,NA,NA,-0.00925260574316127
23798201,"Condition era record observed during anytime on or prior to cohort index:    23798-Acute laryngopharyngitis",201,23798,NA,0,NA,NA,NA,NA,-0.0709008461306822
23868151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  23868-Congenital anomaly of esophagus",101,23868,NA,0,NA,NA,NA,NA,0.0593464521668087
23868251,"Condition era record observed during anytime on or prior to cohort index within condition group:  23868-Congenital anomaly of esophagus",201,23868,NA,0,NA,NA,NA,NA,-0.0847883990274221
23986151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  23986-Disorder of pituitary gland",101,23986,NA,0,NA,NA,NA,NA,-0.0847883990274221
23986152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  23986-Disorder of pituitary gland",102,23986,NA,0,NA,NA,NA,NA,-0.0437269469446626
23986251,"Condition era record observed during anytime on or prior to cohort index within condition group:  23986-Disorder of pituitary gland",201,23986,NA,0,NA,NA,NA,NA,-0.103937600736967
24134101,"Condition occurrence record observed during 365d on or prior to cohort index:  24134-Neck pain",101,24134,241,0,20,221,0.0709219858156028,0.0791547277936963,-0.0312531649242173
24134102,"Condition occurrence record observed during 30d on or prior to cohort index:  24134-Neck pain",102,24134,NA,0,NA,NA,NA,NA,0.00985588512794098
24134103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  24134-Neck pain",103,24134,NA,0,NA,NA,NA,NA,-0.117062248998735
24134201,"Condition era record observed during anytime on or prior to cohort index:    24134-Neck pain",201,24134,491,0,36,455,0.127659574468085,0.162965616045845,-0.100308858335724
24134202,"Condition era record observed concurrent (overlapping) with cohort index:    24134-Neck pain",202,24134,NA,0,NA,NA,NA,NA,-0.0240616068257341
24230101,"Condition occurrence record observed during 365d on or prior to cohort index:  24230-Foreign body in larynx",101,24230,NA,0,NA,NA,NA,NA,0.0788070804198209
24230102,"Condition occurrence record observed during 30d on or prior to cohort index:  24230-Foreign body in larynx",102,24230,NA,0,NA,NA,NA,NA,0.0593464521668087
24230201,"Condition era record observed during anytime on or prior to cohort index:    24230-Foreign body in larynx",201,24230,NA,0,NA,NA,NA,NA,0.07663309606583
24602201,"Condition era record observed during anytime on or prior to cohort index:    24602-Benign neoplasm of esophagus",201,24602,NA,0,NA,NA,NA,NA,0.145943196103711
24609101,"Condition occurrence record observed during 365d on or prior to cohort index:  24609-Hypoglycemia",101,24609,65,0,10,55,0.0354609929078014,0.0196991404011461,0.0963576356135076
24609102,"Condition occurrence record observed during 30d on or prior to cohort index:  24609-Hypoglycemia",102,24609,NA,0,NA,NA,NA,NA,0.102271433593209
24609103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  24609-Hypoglycemia",103,24609,NA,0,NA,NA,NA,NA,-0.0275938051089137
24609201,"Condition era record observed during anytime on or prior to cohort index:    24609-Hypoglycemia",201,24609,133,0,10,123,0.0354609929078014,0.044054441260745,-0.043991763653028
24609202,"Condition era record observed concurrent (overlapping) with cohort index:    24609-Hypoglycemia",202,24609,NA,0,NA,NA,NA,NA,0.00886581877762758
24660101,"Condition occurrence record observed during 365d on or prior to cohort index:  24660-Acute tonsillitis",101,24660,NA,0,NA,NA,NA,NA,0.0961158264914511
24660201,"Condition era record observed during anytime on or prior to cohort index:    24660-Acute tonsillitis",201,24660,NA,0,NA,NA,NA,NA,0.0972106096615376
